1
10 1 10 0 50 966 0 5
8 0 353 979 80 10
11 0 10 0 136 945 0 0
8 0 0 0 0 0
4 1 1520.5 989 1.409 5
4 1 1323.47 989 1.984 5
4 1 949.353 989 -2.098 5
3 1 721.765 976 0.902 5
3 1 407.585 976 0.745 5
3 1 1284.97 976 0.575 5
3 1 995.012 976 1.364 5
3 1 848.276 976 1.372 5
5 1 591 971
5 1 45 778
5 1 1392 971
6 1 1168 819
6 1 747 1013
6 1 236 733
7 3 1 0 541
7 3 1 0 584
7 3 1 0 627
7 3 1 0 670
7 3 1 0 713
7 3 1 0 756
7 3 1 0 799
7 2 1 0 842
7 3 1 0 863
7 3 1 1877 863
7 3 1 0 906
7 3 1 1877 906
7 3 1 0 949
7 3 1 1877 949
7 3 1 0 992
7 3 1 1877 992
7 2 1 228 755
7 3 1 314 776
7 3 1 314 819
7 3 1 314 862
7 3 1 314 905
7 3 1 314 948
7 5 1 271 905
7 3 1 271 948
7 5 1 228 905
7 3 1 228 948
7 5 1 185 992
7 1 1 228 991
7 2 1 1161 841
7 3 1 1161 862
7 3 1 1161 905
7 3 1 1161 948
7 5 1 1117 948
7 1 1 1075 991
